frame_idx,theta,threshold_name,mode,fired_pixels,event_rate,event_rate_eff,e_per_event_nJ,power_static_mW,power_dyn_valid_mW,power_dyn_fp_mW,power_dyn_fn_mW,power_total_mW
88,0.1,low_threshold,noisy,101886,3056580,3056580,0.1678,345.458,0.487,0.051,0.026,345.996
89,0.1,low_threshold,clean,34263,1027890,1027890,0.1678,345.458,0.164,0.017,0.009,345.639
89,0.1,low_threshold,noisy,108753,3262590,3262590,0.1678,345.458,0.52,0.055,0.027,346.033
90,0.1,low_threshold,clean,32251,967530,967530,0.1678,345.458,0.154,0.016,0.008,345.628
90,0.1,low_threshold,noisy,107162,3214860,3214860,0.1678,345.458,0.513,0.054,0.027,346.024
91,0.1,low_threshold,clean,29499,884970,884970,0.1678,345.458,0.141,0.015,0.007,345.614
91,0.1,low_threshold,noisy,104144,3124320,3124320,0.1678,345.458,0.498,0.052,0.026,346.008
92,0.1,low_threshold,clean,27787,833610,833610,0.1678,345.458,0.133,0.014,0.007,345.605
92,0.1,low_threshold,noisy,102375,3071250,3071250,0.1678,345.458,0.49,0.052,0.026,345.999
93,0.1,low_threshold,clean,32788,983640,983640,0.1678,345.458,0.157,0.017,0.008,345.631
93,0.1,low_threshold,noisy,107549,3226470,3226470,0.1678,345.458,0.514,0.054,0.027,346.026
94,0.1,low_threshold,clean,26729,801870,801870,0.1678,345.458,0.128,0.013,0.007,345.599
94,0.1,low_threshold,noisy,100870,3026100,3026100,0.1678,345.458,0.482,0.051,0.025,345.991
95,0.1,low_threshold,clean,26747,802410,802410,0.1678,345.458,0.128,0.013,0.007,345.599
95,0.1,low_threshold,noisy,101220,3036600,3036600,0.1678,345.458,0.484,0.051,0.025,345.993
96,0.1,low_threshold,clean,31468,944040,944040,0.1678,345.458,0.151,0.016,0.008,345.624
96,0.1,low_threshold,noisy,106164,3184920,3184920,0.1678,345.458,0.508,0.053,0.027,346.019
97,0.1,low_threshold,clean,28899,866970,866970,0.1678,345.458,0.138,0.015,0.007,345.61
97,0.1,low_threshold,noisy,103842,3115260,3115260,0.1678,345.458,0.497,0.052,0.026,346.007
98,0.1,low_threshold,clean,29030,870900,870900,0.1678,345.458,0.139,0.015,0.007,345.611
98,0.1,low_threshold,noisy,103466,3103980,3103980,0.1678,345.458,0.495,0.052,0.026,346.005
99,0.1,low_threshold,clean,29361,880830,880830,0.1678,345.458,0.14,0.015,0.007,345.613
99,0.1,low_threshold,noisy,104027,3120810,3120810,0.1678,345.458,0.498,0.052,0.026,346.008
100,0.1,low_threshold,clean,33836,1015080,1015080,0.1678,345.458,0.162,0.017,0.009,345.637
100,0.1,low_threshold,noisy,108390,3251700,3251700,0.1678,345.458,0.518,0.055,0.027,346.031
101,0.1,low_threshold,clean,28964,868920,868920,0.1678,345.458,0.139,0.015,0.007,345.611
101,0.1,low_threshold,noisy,103603,3108090,3108090,0.1678,345.458,0.496,0.052,0.026,346.005
102,0.1,low_threshold,clean,28335,850050,850050,0.1678,345.458,0.136,0.014,0.007,345.607
